rep,k,n_folds,auc_mean,auc_se,ap_mean,ap_se,logloss_mean,logloss_se,brier_mean,brier_se,bss_mean,bss_se
minilm,5,100,0.9862189926083382,0.0005266852521739042,0.8823138869604715,0.002364956284522497,0.057314104813845405,0.0006645711988461599,0.014193855240844716,0.00018882833475906196,0.6920006406898235,0.004117758929228247
minilm,10,100,0.9895746681605434,0.0004005785406536109,0.9066141131677632,0.0020349230130440117,0.049829320379937675,0.0006137670948622173,0.012460268228552875,0.00017034479394155297,0.7296152826381491,0.0037144879582312476
minilm,20,100,0.9909081618555144,0.00035513310710247754,0.9188446673728045,0.0018681291326215267,0.04558538251254804,0.0005834573659429473,0.011387794269740174,0.00016252479979355437,0.7528949286923011,0.003537177547993246
minilm,50,100,0.9918182069653361,0.00031168342623946835,0.9289660519998872,0.0016391891665478344,0.04171282260237543,0.000538469105505355,0.010371660550357775,0.0001533447865867068,0.7749512689254872,0.0033302477713131663
minilm,100,100,0.9920025823838452,0.00035020282112604534,0.9335369572787579,0.0015664659816565997,0.0398208607561716,0.0005185258207723714,0.009835557616816778,0.00014434568019248953,0.7865751145109692,0.0031411533563851
