rep,k,n_folds,auc_mean,auc_se,ap_mean,ap_se,logloss_mean,logloss_se,brier_mean,brier_se,bss_mean,bss_se
openai-large,5,100,0.98735005292745,0.0005241737835724868,0.8893599675910632,0.0022639707545738462,0.055686690142184414,0.0006467306507877748,0.013980033576737631,0.00019117690191552175,0.6966442508727307,0.00416602978907374
openai-large,10,100,0.989894803391918,0.0004342025397204334,0.9119872985847854,0.0019309122795128295,0.048366486409493425,0.000595537045613333,0.012224618540805133,0.0001698363543174628,0.73474373856352,0.003692395159036425
openai-large,20,100,0.9915312132751604,0.00033357372939224673,0.9267542240583231,0.001687908033850219,0.042873883788100794,0.0005554410093408384,0.010738716072431811,0.00015962587704893306,0.7669879262385783,0.003465270564957984
openai-large,50,100,0.9926263735531196,0.0003249426800301295,0.9373390639287775,0.0015267093464620002,0.03849062062973824,0.0005316337042475256,0.009485273062950434,0.00014684684834080677,0.7941925151923922,0.003181963640246592
openai-large,100,100,0.9929930947765859,0.0002944968399442666,0.941959821481856,0.0014116246727637742,0.03650874119465894,0.0004961988153815402,0.008921618755250837,0.00013796486806591068,0.8064192086582262,0.0029919317267198325
