rep,k,n_folds,auc_mean,auc_se,ap_mean,ap_se,logloss_mean,logloss_se,brier_mean,brier_se,bss_mean,bss_se
bge-large,5,100,0.9858025482022302,0.0004477824950444946,0.8723556257507629,0.002534013812051437,0.05994637643339064,0.0006919620277309708,0.015196794954245333,0.00019492645787401957,0.6702141265587978,0.004272045384586387
bge-large,10,100,0.988206648576099,0.00040263122985413136,0.8945400698641623,0.0022011109452333578,0.052940213263637854,0.000625119292430684,0.013612402952291996,0.00017489738091156008,0.7045995093065617,0.0038292450596213367
bge-large,20,100,0.9897837323922909,0.00036992004999544424,0.908720535368131,0.001985894095652165,0.04819948837021523,0.0005969602355969796,0.012340816856019792,0.0001681101616364764,0.7321885240505824,0.0036788857505297237
bge-large,50,100,0.9906957645655288,0.00034578112570094767,0.9202850993113786,0.0017564672833160321,0.04396095306371934,0.0005479317680739072,0.011180094859582957,0.00015388891067755472,0.757391880849552,0.003355189896461566
bge-large,100,100,0.990827514484307,0.0003959591736069692,0.9260007258520065,0.0017404631127530892,0.0418154061825917,0.0005615432021866713,0.010500189328588436,0.00015590767830743807,0.7721487846652774,0.003394127480048191
