rep,k,n_folds,auc_mean,auc_se,ap_mean,ap_se,logloss_mean,logloss_se,brier_mean,brier_se,bss_mean,bss_se
openai-small,5,100,0.9866144826143477,0.0004558986208484268,0.882522500458952,0.002371940859218879,0.05769656937522766,0.0006598039463472881,0.014419975511383652,0.00019026693521316827,0.6870890831335679,0.004154379817991756
openai-small,10,100,0.9892374870483605,0.000471354896836877,0.9081295048802319,0.002008176758649788,0.04979972457095189,0.0005985198853593963,0.012605190461699863,0.00016948387957585183,0.7264684497394016,0.003700263806276889
openai-small,20,100,0.9902613345784104,0.00047201835456914915,0.9217377772022715,0.0018123522449073636,0.04461582211919426,0.000586308413493236,0.01121408640502707,0.00016835897247827663,0.7566607100672124,0.0036658068560298787
openai-small,50,100,0.9916241187017444,0.0003771944535158345,0.9343165651423933,0.0015511539698531839,0.03983403970712605,0.0005310128721799376,0.009915785513491572,0.00014484207363442246,0.7848383509470982,0.003148150834088658
openai-small,100,100,0.9918602289469505,0.0004025505002854386,0.9392938877272263,0.001419924147380429,0.03773864705660253,0.0004967949494698883,0.00927161362259007,0.00013530523646037416,0.7988186761300683,0.0029397911708001845
